Date,puck1,puck2,msgs1,msgs2
11:07:47 AM,48,66,,
11:07:48 AM,48,66,,
11:07:49 AM,48,66,,
11:07:50 AM,48,66,,
11:07:51 AM,48,66,,
11:07:52 AM,48,66,,
11:07:53 AM,48,66,,
11:07:54 AM,48,66,,
11:07:55 AM,48,66,,
11:07:56 AM,48,66,,
11:07:57 AM,48,66,,
11:07:58 AM,48,66,,
11:07:59 AM,48,66,,
11:08:00 AM,48,66,,
11:08:01 AM,48,66,,
11:08:02 AM,48,66,,
11:08:03 AM,48,66,,
11:08:04 AM,48,66,,
11:08:05 AM,48,66,,
11:08:06 AM,48,66,,
11:08:07 AM,48,66,,
11:08:08 AM,48,66,,
11:08:09 AM,48,66,,
11:08:10 AM,48,66,,
11:08:11 AM,48,66,,
11:08:12 AM,48,66,,
11:08:13 AM,48,66,,
11:08:14 AM,48,66,,
11:08:15 AM,48,66,,
11:08:16 AM,48,66,,
11:08:17 AM,48,66,,
11:08:18 AM,48,66,,
11:08:19 AM,48,66,,
11:08:20 AM,48,66,,
11:08:21 AM,48,66,,
11:08:22 AM,48,66,,
11:08:23 AM,281,339,800,400
11:08:24 AM,337,303,,
11:08:25 AM,427,133,,
11:08:26 AM,427,133,,
11:08:27 AM,427,133,,
11:08:28 AM,427,133,,
11:08:29 AM,427,133,,
11:08:30 AM,427,133,,
11:08:31 AM,427,133,,
11:08:32 AM,427,123,,
11:08:33 AM,427,123,,
11:08:34 AM,427,90,,
11:08:35 AM,427,90,,
11:08:36 AM,427,90,,
11:08:37 AM,427,90,,
11:08:38 AM,427,90,,
11:08:39 AM,427,90,,
11:08:40 AM,427,122,,
11:08:41 AM,427,122,,
11:08:42 AM,427,122,,
11:08:43 AM,389,122,,
11:08:44 AM,389,122,,
11:08:45 AM,389,122,,
11:08:46 AM,389,82,,
11:08:47 AM,389,82,,
11:08:48 AM,389,82,,
11:08:49 AM,389,82,,
11:08:50 AM,389,120,,
11:08:51 AM,389,120,,
11:08:52 AM,249,193,,
11:08:53 AM,249,193,,
11:08:54 AM,249,193,,
11:08:55 AM,567,537,,
11:08:56 AM,629,617,,200
11:08:57 AM,203,297,600,
11:08:58 AM,82,88,,
11:08:59 AM,82,88,,
11:09:00 AM,82,88,,
11:09:01 AM,82,88,,
11:09:02 AM,82,88,,
11:09:03 AM,82,88,,
11:09:04 AM,82,88,,
11:09:05 AM,82,88,,
11:09:06 AM,82,88,,
11:09:07 AM,82,88,,
11:09:08 AM,82,88,,
11:09:09 AM,82,88,,
11:09:10 AM,82,88,,
11:09:11 AM,82,88,,
11:09:12 AM,82,88,,
11:09:13 AM,82,88,,
11:09:14 AM,82,88,,
11:09:15 AM,82,88,,
11:09:16 AM,82,88,,
11:09:17 AM,82,88,,
11:09:18 AM,82,88,,
11:09:19 AM,82,88,,
11:09:20 AM,82,88,,
11:09:21 AM,82,88,,
11:09:22 AM,82,88,,
11:09:23 AM,82,88,,
11:09:24 AM,82,88,,
11:09:25 AM,82,88,,
11:09:26 AM,82,88,,
11:09:27 AM,82,88,,
11:09:28 AM,82,88,,
11:09:29 AM,82,14,,
11:09:30 AM,82,14,,
11:09:31 AM,82,14,,
11:09:32 AM,82,14,,
11:09:33 AM,82,14,,
11:09:34 AM,82,14,,
11:09:35 AM,82,14,,
11:09:36 AM,82,14,,
11:09:37 AM,82,14,,
11:09:38 AM,82,14,,
11:09:39 AM,82,14,,
11:09:40 AM,82,14,,
11:09:41 AM,12,14,,
11:09:42 AM,12,14,,
11:09:43 AM,12,14,,
11:09:44 AM,12,14,,
11:09:45 AM,12,14,,
11:09:46 AM,12,14,,
11:09:47 AM,12,14,,
11:09:48 AM,12,14,,
11:09:49 AM,12,14,,
11:09:50 AM,12,14,,
11:09:51 AM,12,14,,
11:09:52 AM,12,14,,
11:09:53 AM,12,14,,
11:09:54 AM,12,14,,
11:09:55 AM,12,14,,
11:09:56 AM,12,14,,
11:09:57 AM,12,14,,
11:09:58 AM,12,14,,
11:09:59 AM,12,14,,
11:10:00 AM,12,14,,
11:10:01 AM,12,14,,
11:10:02 AM,12,14,,
11:10:03 AM,12,14,,
11:10:04 AM,12,14,,
11:10:05 AM,12,14,,
11:10:06 AM,12,14,,
11:10:07 AM,12,14,,
11:10:08 AM,12,14,,
11:10:09 AM,12,14,,
11:10:10 AM,12,14,,
11:10:11 AM,12,14,,
11:10:12 AM,12,14,,
11:10:13 AM,12,14,,
11:10:14 AM,12,14,,
11:10:15 AM,12,14,,
11:10:16 AM,12,14,,
11:10:17 AM,12,14,,
11:10:18 AM,12,14,,
11:10:19 AM,12,14,,
11:10:20 AM,12,14,,
11:10:21 AM,12,14,,
11:10:22 AM,12,14,,
11:10:23 AM,12,14,,
11:10:24 AM,12,14,,
