x,y1,y2,y3,y4,y5,y6
11:14:22,747,463,,,,
11:14:23,757,463,,,,
11:14:24,781,497,,,,
11:14:25,777,499,,,,
11:14:26,777,493,,,,
11:14:27,743,493,,,,
11:14:28,771,493,,,,
11:14:29,753,491,,,,
11:14:30,773,497,,,,
11:14:31,745,465,,,,
11:14:32,771,471,,,,
11:14:33,781,471,,,,
11:14:34,761,471,,,,
11:14:35,747,461,,,,
11:14:36,769,461,,,,
11:14:37,757,463,,,,
11:14:38,757,463,,,,
11:14:39,757,501,,,,
11:14:40,751,471,,,,
11:14:41,751,495,,,,
11:14:42,777,495,,,,
11:14:43,783,475,,,,
11:14:44,749,475,,,,
11:14:45,755,461,,,,
11:14:46,753,489,,,,
11:14:47,753,489,,,,
11:14:48,753,483,,,,
11:14:49,753,465,,,,
11:14:50,755,465,,,,
11:14:51,747,465,,,,
11:14:52,747,459,,,,
11:14:53,763,491,,,,
11:14:54,579,491,,,,
11:14:55,991,597,,,,
11:14:56,1201,933,,,,
11:14:57,1201,933,,,,
11:14:58,42,16,,,,200
11:14:59,42,16,,600,,
11:15:00,42,16,,,,
11:15:01,42,50,,,,
11:15:02,88,489,800,,,
11:15:03,521,353,,,400,
11:15:04,583,319,,,,
11:15:05,583,319,,,,
11:15:06,595,319,,,,
11:15:07,617,319,,,,
11:15:08,617,319,,,,
11:15:09,617,319,,,,
11:15:10,599,301,,,,
11:15:11,595,301,,,,
11:15:12,595,301,,,,
11:15:13,561,301,,,,
11:15:14,561,301,,,,
11:15:15,561,301,,,,
11:15:16,547,301,,,,
11:15:17,547,301,,,,
11:15:18,561,301,,,,
11:15:19,561,301,,,,
11:15:20,561,301,,,,
11:15:21,579,301,,,,
11:15:22,607,301,,,,
11:15:23,607,301,,,,
11:15:24,607,313,,,,
11:15:25,607,313,,,,
11:15:26,607,313,,,,
11:15:27,579,315,,,,
11:15:28,579,315,,,,
11:15:29,579,315,,,,
11:15:30,579,315,,,,
11:15:31,589,315,,,,
11:15:32,581,293,,,,
11:15:33,581,293,,,,
11:15:34,561,293,,,,
11:15:35,561,293,,,,
11:15:36,561,293,,,,
11:15:37,561,293,,,,
